id;value;location;date;measure;unit
2259;0.00;"Boonsri";11/1/1998;"Fecal coliforms";"mg/l"
2261;5.00;"Boonsri";15/2/1998;"Water temperature";"C"
2263;11.50;"Boonsri";15/2/1998;"Dissolved oxygen";"mg/l"
2267;0.14;"Boonsri";15/2/1998;"Ammonium";"mg/l"
2268;0.03;"Boonsri";15/2/1998;"Nitrites";"mg/l"
2269;2.50;"Boonsri";15/2/1998;"Nitrates";"mg/l"
2270;0.02;"Boonsri";15/2/1998;"Orthophosphate-phosphorus";"mg/l"
2271;0.06;"Boonsri";15/2/1998;"Total phosphorus";"mg/l"
2272;13.60;"Boonsri";15/2/1998;"Sodium";"mg/l"
2273;3.20;"Boonsri";15/2/1998;"Potassium";"mg/l"
2274;56.00;"Boonsri";15/2/1998;"Calcium";"mg/l"
2275;24.20;"Boonsri";15/2/1998;"Magnesium";"mg/l"
2276;24.10;"Boonsri";15/2/1998;"Chlorides";"mg/l"
2277;49.80;"Boonsri";15/2/1998;"Sulphates";"mg/l"
2278;2.84;"Boonsri";15/2/1998;"Iron";"mg/l"
2279;0.02;"Boonsri";15/2/1998;"Manganese";"mg/l"
2280;15.00;"Boonsri";15/2/1998;"Zinc";"µg/l"
2281;5.00;"Boonsri";15/2/1998;"Copper";"µg/l"
2282;9.00;"Boonsri";15/2/1998;"Chromium";"µg/l"
2283;0.00;"Boonsri";15/2/1998;"Lead";"µg/l"
2284;0.00;"Boonsri";15/2/1998;"Cadmium";"µg/l"
2285;0.00;"Boonsri";15/2/1998;"Mercury";"µg/l"
2286;2.00;"Boonsri";15/2/1998;"Nickel";"µg/l"
2287;0.00;"Boonsri";15/2/1998;"Arsenic";"µg/l"
2288;3.80;"Boonsri";15/2/1998;"Biochemical Oxygen";"mg/l"
2289;13.40;"Boonsri";15/2/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2290;4.70;"Boonsri";15/2/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2291;0.00;"Boonsri";15/2/1998;"AOX";"µg/l"
2293;0.00;"Boonsri";15/2/1998;"Atrazine";"µg/l"
2294;0.00;"Boonsri";15/2/1998;"Cesium";"µg/l"
2296;0.00;"Boonsri";15/2/1998;"Macrozoobenthos";
2298;0.84;"Boonsri";15/2/1998;"Total coliforms";"mg/l"
2299;0.00;"Boonsri";15/2/1998;"Fecal coliforms";"mg/l"
2301;2.00;"Boonsri";12/3/1998;"Water temperature";"C"
2303;11.00;"Boonsri";12/3/1998;"Dissolved oxygen";"mg/l"
2307;0.20;"Boonsri";12/3/1998;"Ammonium";"mg/l"
2308;0.03;"Boonsri";12/3/1998;"Nitrites";"mg/l"
2309;1.90;"Boonsri";12/3/1998;"Nitrates";"mg/l"
2310;0.05;"Boonsri";12/3/1998;"Orthophosphate-phosphorus";"mg/l"
2311;0.08;"Boonsri";12/3/1998;"Total phosphorus";"mg/l"
2312;13.50;"Boonsri";12/3/1998;"Sodium";"mg/l"
2313;3.70;"Boonsri";12/3/1998;"Potassium";"mg/l"
2314;68.00;"Boonsri";12/3/1998;"Calcium";"mg/l"
2315;21.70;"Boonsri";12/3/1998;"Magnesium";"mg/l"
2316;27.70;"Boonsri";12/3/1998;"Chlorides";"mg/l"
2317;46.50;"Boonsri";12/3/1998;"Sulphates";"mg/l"
2318;4.57;"Boonsri";12/3/1998;"Iron";"mg/l"
2319;0.01;"Boonsri";12/3/1998;"Manganese";"mg/l"
2320;15.00;"Boonsri";12/3/1998;"Zinc";"µg/l"
2321;9.00;"Boonsri";12/3/1998;"Copper";"µg/l"
2322;6.00;"Boonsri";12/3/1998;"Chromium";"µg/l"
2323;0.00;"Boonsri";12/3/1998;"Lead";"µg/l"
2324;0.00;"Boonsri";12/3/1998;"Cadmium";"µg/l"
2325;0.00;"Boonsri";12/3/1998;"Mercury";"µg/l"
2326;3.00;"Boonsri";12/3/1998;"Nickel";"µg/l"
2327;0.00;"Boonsri";12/3/1998;"Arsenic";"µg/l"
2328;3.30;"Boonsri";12/3/1998;"Biochemical Oxygen";"mg/l"
2329;13.10;"Boonsri";12/3/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2330;4.90;"Boonsri";12/3/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2331;0.00;"Boonsri";12/3/1998;"AOX";"µg/l"
2333;0.00;"Boonsri";12/3/1998;"Atrazine";"µg/l"
2334;0.00;"Boonsri";12/3/1998;"Cesium";"µg/l"
2336;2.02;"Boonsri";12/3/1998;"Macrozoobenthos";
2338;1.40;"Boonsri";12/3/1998;"Total coliforms";"mg/l"
2339;0.00;"Boonsri";12/3/1998;"Fecal coliforms";"mg/l"
2341;8.00;"Boonsri";11/4/1998;"Water temperature";"C"
2343;8.40;"Boonsri";11/4/1998;"Dissolved oxygen";"mg/l"
2347;0.12;"Boonsri";11/4/1998;"Ammonium";"mg/l"
2348;0.06;"Boonsri";11/4/1998;"Nitrites";"mg/l"
2349;2.60;"Boonsri";11/4/1998;"Nitrates";"mg/l"
2350;0.05;"Boonsri";11/4/1998;"Orthophosphate-phosphorus";"mg/l"
2351;0.09;"Boonsri";11/4/1998;"Total phosphorus";"mg/l"
2352;14.10;"Boonsri";11/4/1998;"Sodium";"mg/l"
2353;3.40;"Boonsri";11/4/1998;"Potassium";"mg/l"
2354;51.00;"Boonsri";11/4/1998;"Calcium";"mg/l"
2355;13.80;"Boonsri";11/4/1998;"Magnesium";"mg/l"
2356;22.00;"Boonsri";11/4/1998;"Chlorides";"mg/l"
2357;48.00;"Boonsri";11/4/1998;"Sulphates";"mg/l"
2358;0.85;"Boonsri";11/4/1998;"Iron";"mg/l"
2359;0.01;"Boonsri";11/4/1998;"Manganese";"mg/l"
2360;20.00;"Boonsri";11/4/1998;"Zinc";"µg/l"
2361;35.00;"Boonsri";11/4/1998;"Copper";"µg/l"
2362;15.00;"Boonsri";11/4/1998;"Chromium";"µg/l"
2363;20.00;"Boonsri";11/4/1998;"Lead";"µg/l"
2364;0.31;"Boonsri";11/4/1998;"Cadmium";"µg/l"
2365;0.00;"Boonsri";11/4/1998;"Mercury";"µg/l"
2366;1.00;"Boonsri";11/4/1998;"Nickel";"µg/l"
2367;0.00;"Boonsri";11/4/1998;"Arsenic";"µg/l"
2368;1.80;"Boonsri";11/4/1998;"Biochemical Oxygen";"mg/l"
2369;10.80;"Boonsri";11/4/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2370;4.00;"Boonsri";11/4/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2371;0.00;"Boonsri";11/4/1998;"AOX";"µg/l"
2373;0.00;"Boonsri";11/4/1998;"Atrazine";"µg/l"
2374;2.0e-03;"Boonsri";11/4/1998;"p,p-DDT";"µg/l"
2375;0.00;"Boonsri";11/4/1998;"gamma-Hexachlorocyclohexane";"µg/l"
2376;0.00;"Boonsri";11/4/1998;"Cesium";"µg/l"
2378;2.09;"Boonsri";11/4/1998;"Macrozoobenthos";
2380;0.00;"Boonsri";11/4/1998;"Total coliforms";"mg/l"
2381;0.00;"Boonsri";11/4/1998;"Fecal coliforms";"mg/l"
2383;15.00;"Boonsri";9/5/1998;"Water temperature";"C"
2385;8.30;"Boonsri";9/5/1998;"Dissolved oxygen";"mg/l"
2389;0.14;"Boonsri";9/5/1998;"Ammonium";"mg/l"
2390;0.05;"Boonsri";9/5/1998;"Nitrites";"mg/l"
2391;2.20;"Boonsri";9/5/1998;"Nitrates";"mg/l"
2392;0.04;"Boonsri";9/5/1998;"Orthophosphate-phosphorus";"mg/l"
2393;0.08;"Boonsri";9/5/1998;"Total phosphorus";"mg/l"
2394;15.10;"Boonsri";9/5/1998;"Sodium";"mg/l"
2395;3.70;"Boonsri";9/5/1998;"Potassium";"mg/l"
2396;48.00;"Boonsri";9/5/1998;"Calcium";"mg/l"
2397;11.70;"Boonsri";9/5/1998;"Magnesium";"mg/l"
2398;19.90;"Boonsri";9/5/1998;"Chlorides";"mg/l"
2399;37.00;"Boonsri";9/5/1998;"Sulphates";"mg/l"
2400;2.00;"Boonsri";9/5/1998;"Iron";"mg/l"
2401;0.02;"Boonsri";9/5/1998;"Manganese";"mg/l"
2402;24.00;"Boonsri";9/5/1998;"Zinc";"µg/l"
2403;4.00;"Boonsri";9/5/1998;"Copper";"µg/l"
2404;9.00;"Boonsri";9/5/1998;"Chromium";"µg/l"
2405;0.00;"Boonsri";9/5/1998;"Lead";"µg/l"
2406;0.00;"Boonsri";9/5/1998;"Cadmium";"µg/l"
2407;0.00;"Boonsri";9/5/1998;"Mercury";"µg/l"
2408;2.00;"Boonsri";9/5/1998;"Nickel";"µg/l"
2409;0.00;"Boonsri";9/5/1998;"Arsenic";"µg/l"
2410;3.00;"Boonsri";9/5/1998;"Biochemical Oxygen";"mg/l"
2411;14.70;"Boonsri";9/5/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2412;4.70;"Boonsri";9/5/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2413;0.00;"Boonsri";9/5/1998;"AOX";"µg/l"
2415;0.00;"Boonsri";9/5/1998;"Atrazine";"µg/l"
2416;0.00;"Boonsri";9/5/1998;"Cesium";"µg/l"
2418;0.00;"Boonsri";9/5/1998;"Macrozoobenthos";
2420;2.50;"Boonsri";9/5/1998;"Total coliforms";"mg/l"
2421;0.00;"Boonsri";9/5/1998;"Fecal coliforms";"mg/l"
2423;24.50;"Boonsri";6/6/1998;"Water temperature";"C"
2425;7.50;"Boonsri";6/6/1998;"Dissolved oxygen";"mg/l"
2428;0.16;"Boonsri";6/6/1998;"Ammonium";"mg/l"
2429;0.05;"Boonsri";6/6/1998;"Nitrites";"mg/l"
2430;1.34;"Boonsri";6/6/1998;"Nitrates";"mg/l"
2431;0.03;"Boonsri";6/6/1998;"Orthophosphate-phosphorus";"mg/l"
2432;0.07;"Boonsri";6/6/1998;"Total phosphorus";"mg/l"
2433;13.20;"Boonsri";6/6/1998;"Sodium";"mg/l"
2434;3.59;"Boonsri";6/6/1998;"Potassium";"mg/l"
2435;54.00;"Boonsri";6/6/1998;"Calcium";"mg/l"
2436;12.80;"Boonsri";6/6/1998;"Magnesium";"mg/l"
2437;22.70;"Boonsri";6/6/1998;"Chlorides";"mg/l"
2438;52.20;"Boonsri";6/6/1998;"Sulphates";"mg/l"
2439;0.08;"Boonsri";6/6/1998;"Iron";"mg/l"
2440;0.12;"Boonsri";6/6/1998;"Manganese";"mg/l"
2441;40.00;"Boonsri";6/6/1998;"Zinc";"µg/l"
2442;11.00;"Boonsri";6/6/1998;"Copper";"µg/l"
2443;11.00;"Boonsri";6/6/1998;"Chromium";"µg/l"
2444;1.00;"Boonsri";6/6/1998;"Lead";"µg/l"
2445;0.50;"Boonsri";6/6/1998;"Cadmium";"µg/l"
2446;0.00;"Boonsri";6/6/1998;"Mercury";"µg/l"
2447;8.00;"Boonsri";6/6/1998;"Nickel";"µg/l"
2448;0.00;"Boonsri";6/6/1998;"Arsenic";"µg/l"
2449;2.30;"Boonsri";6/6/1998;"Biochemical Oxygen";"mg/l"
2450;11.70;"Boonsri";6/6/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2451;4.20;"Boonsri";6/6/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2452;0.00;"Boonsri";6/6/1998;"AOX";"µg/l"
2454;0.00;"Boonsri";6/6/1998;"Atrazine";"µg/l"
2455;0.00;"Boonsri";6/6/1998;"p,p-DDT";"µg/l"
2456;4.0e-03;"Boonsri";6/6/1998;"gamma-Hexachlorocyclohexane";"µg/l"
2457;0.00;"Boonsri";6/6/1998;"Cesium";"µg/l"
2459;0.00;"Boonsri";6/6/1998;"Macrozoobenthos";
2461;0.00;"Boonsri";6/6/1998;"Total coliforms";"mg/l"
2462;0.00;"Boonsri";6/6/1998;"Fecal coliforms";"mg/l"
2464;19.00;"Boonsri";11/7/1998;"Water temperature";"C"
2466;6.00;"Boonsri";11/7/1998;"Dissolved oxygen";"mg/l"
2470;0.15;"Boonsri";11/7/1998;"Ammonium";"mg/l"
2471;0.04;"Boonsri";11/7/1998;"Nitrites";"mg/l"
2472;1.49;"Boonsri";11/7/1998;"Nitrates";"mg/l"
2473;0.07;"Boonsri";11/7/1998;"Orthophosphate-phosphorus";"mg/l"
2474;0.09;"Boonsri";11/7/1998;"Total phosphorus";"mg/l"
2475;11.70;"Boonsri";11/7/1998;"Sodium";"mg/l"
2476;2.40;"Boonsri";11/7/1998;"Potassium";"mg/l"
2477;41.00;"Boonsri";11/7/1998;"Calcium";"mg/l"
2478;13.90;"Boonsri";11/7/1998;"Magnesium";"mg/l"
2479;20.60;"Boonsri";11/7/1998;"Chlorides";"mg/l"
2480;42.60;"Boonsri";11/7/1998;"Sulphates";"mg/l"
2481;0.34;"Boonsri";11/7/1998;"Iron";"mg/l"
2482;8.0e-03;"Boonsri";11/7/1998;"Manganese";"mg/l"
2483;18.00;"Boonsri";11/7/1998;"Zinc";"µg/l"
2484;9.00;"Boonsri";11/7/1998;"Copper";"µg/l"
2485;0.00;"Boonsri";11/7/1998;"Chromium";"µg/l"
2486;0.00;"Boonsri";11/7/1998;"Lead";"µg/l"
2487;0.00;"Boonsri";11/7/1998;"Cadmium";"µg/l"
2488;0.00;"Boonsri";11/7/1998;"Mercury";"µg/l"
2489;6.00;"Boonsri";11/7/1998;"Nickel";"µg/l"
2490;0.00;"Boonsri";11/7/1998;"Arsenic";"µg/l"
2491;1.90;"Boonsri";11/7/1998;"Biochemical Oxygen";"mg/l"
2492;0.00;"Boonsri";11/7/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2493;3.40;"Boonsri";11/7/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2494;0.00;"Boonsri";11/7/1998;"AOX";"µg/l"
2496;0.00;"Boonsri";11/7/1998;"Atrazine";"µg/l"
2497;0.00;"Boonsri";11/7/1998;"Cesium";"µg/l"
2499;0.00;"Boonsri";11/7/1998;"Macrozoobenthos";
2501;0.28;"Boonsri";11/7/1998;"Total coliforms";"mg/l"
2502;0.00;"Boonsri";11/7/1998;"Fecal coliforms";"mg/l"
2504;23.00;"Boonsri";8/8/1998;"Water temperature";"C"
2506;6.80;"Boonsri";8/8/1998;"Dissolved oxygen";"mg/l"
2510;0.21;"Boonsri";8/8/1998;"Ammonium";"mg/l"
2511;0.07;"Boonsri";8/8/1998;"Nitrites";"mg/l"
2512;0.90;"Boonsri";8/8/1998;"Nitrates";"mg/l"
2513;0.04;"Boonsri";8/8/1998;"Orthophosphate-phosphorus";"mg/l"
2514;0.08;"Boonsri";8/8/1998;"Total phosphorus";"mg/l"
2515;14.00;"Boonsri";8/8/1998;"Sodium";"mg/l"
2516;2.80;"Boonsri";8/8/1998;"Potassium";"mg/l"
2517;49.00;"Boonsri";8/8/1998;"Calcium";"mg/l"
2518;12.80;"Boonsri";8/8/1998;"Magnesium";"mg/l"
2519;25.50;"Boonsri";8/8/1998;"Chlorides";"mg/l"
2520;32.10;"Boonsri";8/8/1998;"Sulphates";"mg/l"
2521;0.19;"Boonsri";8/8/1998;"Iron";"mg/l"
2522;0.02;"Boonsri";8/8/1998;"Manganese";"mg/l"
2523;97.00;"Boonsri";8/8/1998;"Zinc";"µg/l"
2524;41.00;"Boonsri";8/8/1998;"Copper";"µg/l"
2525;19.00;"Boonsri";8/8/1998;"Chromium";"µg/l"
2526;4.00;"Boonsri";8/8/1998;"Lead";"µg/l"
2527;0.62;"Boonsri";8/8/1998;"Cadmium";"µg/l"
2528;0.00;"Boonsri";8/8/1998;"Mercury";"µg/l"
2529;13.00;"Boonsri";8/8/1998;"Nickel";"µg/l"
2530;0.00;"Boonsri";8/8/1998;"Arsenic";"µg/l"
2531;2.90;"Boonsri";8/8/1998;"Biochemical Oxygen";"mg/l"
2532;0.00;"Boonsri";8/8/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2533;3.30;"Boonsri";8/8/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2534;0.00;"Boonsri";8/8/1998;"AOX";"µg/l"
2536;0.00;"Boonsri";8/8/1998;"Atrazine";"µg/l"
2537;0.00;"Boonsri";8/8/1998;"Cesium";"µg/l"
2539;0.00;"Boonsri";8/8/1998;"Macrozoobenthos";
2541;0.00;"Boonsri";8/8/1998;"Total coliforms";"mg/l"
2542;0.00;"Boonsri";8/8/1998;"Fecal coliforms";"mg/l"
2544;14.00;"Boonsri";5/9/1998;"Water temperature";"C"
2546;7.80;"Boonsri";5/9/1998;"Dissolved oxygen";"mg/l"
2550;0.30;"Boonsri";5/9/1998;"Ammonium";"mg/l"
2551;0.06;"Boonsri";5/9/1998;"Nitrites";"mg/l"
2552;0.89;"Boonsri";5/9/1998;"Nitrates";"mg/l"
2553;0.04;"Boonsri";5/9/1998;"Orthophosphate-phosphorus";"mg/l"
2554;0.12;"Boonsri";5/9/1998;"Total phosphorus";"mg/l"
2555;16.20;"Boonsri";5/9/1998;"Sodium";"mg/l"
2556;2.60;"Boonsri";5/9/1998;"Potassium";"mg/l"
2557;48.00;"Boonsri";5/9/1998;"Calcium";"mg/l"
2558;31.70;"Boonsri";5/9/1998;"Magnesium";"mg/l"
2559;27.00;"Boonsri";5/9/1998;"Chlorides";"mg/l"
2560;100.00;"Boonsri";5/9/1998;"Sulphates";"mg/l"
2561;0.45;"Boonsri";5/9/1998;"Iron";"mg/l"
2562;7.0e-03;"Boonsri";5/9/1998;"Manganese";"mg/l"
2563;33.00;"Boonsri";5/9/1998;"Zinc";"µg/l"
2564;6.00;"Boonsri";5/9/1998;"Copper";"µg/l"
2565;9.00;"Boonsri";5/9/1998;"Chromium";"µg/l"
2566;0.00;"Boonsri";5/9/1998;"Lead";"µg/l"
2567;0.00;"Boonsri";5/9/1998;"Cadmium";"µg/l"
2568;0.00;"Boonsri";5/9/1998;"Mercury";"µg/l"
2569;7.00;"Boonsri";5/9/1998;"Nickel";"µg/l"
2570;0.00;"Boonsri";5/9/1998;"Arsenic";"µg/l"
2571;2.70;"Boonsri";5/9/1998;"Biochemical Oxygen";"mg/l"
2572;0.00;"Boonsri";5/9/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2573;4.70;"Boonsri";5/9/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2574;0.00;"Boonsri";5/9/1998;"AOX";"µg/l"
2576;0.00;"Boonsri";5/9/1998;"Atrazine";"µg/l"
2577;0.00;"Boonsri";5/9/1998;"Cesium";"µg/l"
2579;0.00;"Boonsri";5/9/1998;"Macrozoobenthos";
2581;0.28;"Boonsri";5/9/1998;"Total coliforms";"mg/l"
2582;0.00;"Boonsri";5/9/1998;"Fecal coliforms";"mg/l"
2584;14.00;"Boonsri";3/10/1998;"Water temperature";"C"
2586;9.10;"Boonsri";3/10/1998;"Dissolved oxygen";"mg/l"
2590;0.20;"Boonsri";3/10/1998;"Ammonium";"mg/l"
2591;0.05;"Boonsri";3/10/1998;"Nitrites";"mg/l"
2592;0.90;"Boonsri";3/10/1998;"Nitrates";"mg/l"
2593;0.02;"Boonsri";3/10/1998;"Orthophosphate-phosphorus";"mg/l"
2594;0.04;"Boonsri";3/10/1998;"Total phosphorus";"mg/l"
2595;10.20;"Boonsri";3/10/1998;"Sodium";"mg/l"
2596;2.80;"Boonsri";3/10/1998;"Potassium";"mg/l"
2597;48.00;"Boonsri";3/10/1998;"Calcium";"mg/l"
2598;14.40;"Boonsri";3/10/1998;"Magnesium";"mg/l"
2599;21.30;"Boonsri";3/10/1998;"Chlorides";"mg/l"
2600;29.40;"Boonsri";3/10/1998;"Sulphates";"mg/l"
2601;0.47;"Boonsri";3/10/1998;"Iron";"mg/l"
2602;2.0e-03;"Boonsri";3/10/1998;"Manganese";"mg/l"
2603;2.00;"Boonsri";3/10/1998;"Zinc";"µg/l"
2604;9.00;"Boonsri";3/10/1998;"Copper";"µg/l"
2605;21.00;"Boonsri";3/10/1998;"Chromium";"µg/l"
2606;5.00;"Boonsri";3/10/1998;"Lead";"µg/l"
2607;0.86;"Boonsri";3/10/1998;"Cadmium";"µg/l"
2608;0.00;"Boonsri";3/10/1998;"Mercury";"µg/l"
2609;3.00;"Boonsri";3/10/1998;"Nickel";"µg/l"
2610;0.00;"Boonsri";3/10/1998;"Arsenic";"µg/l"
2611;2.30;"Boonsri";3/10/1998;"Biochemical Oxygen";"mg/l"
2612;0.00;"Boonsri";3/10/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2613;3.20;"Boonsri";3/10/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2614;0.00;"Boonsri";3/10/1998;"AOX";"µg/l"
2616;0.00;"Boonsri";3/10/1998;"Atrazine";"µg/l"
2617;0.00;"Boonsri";3/10/1998;"Cesium";"µg/l"
2619;2.04;"Boonsri";3/10/1998;"Macrozoobenthos";
2621;0.00;"Boonsri";3/10/1998;"Total coliforms";"mg/l"
2622;0.00;"Boonsri";3/10/1998;"Fecal coliforms";"mg/l"
2624;12.00;"Boonsri";7/11/1998;"Water temperature";"C"
2626;9.30;"Boonsri";7/11/1998;"Dissolved oxygen";"mg/l"
2630;0.07;"Boonsri";7/11/1998;"Ammonium";"mg/l"
2631;0.02;"Boonsri";7/11/1998;"Nitrites";"mg/l"
2632;1.40;"Boonsri";7/11/1998;"Nitrates";"mg/l"
2633;0.07;"Boonsri";7/11/1998;"Orthophosphate-phosphorus";"mg/l"
2634;0.08;"Boonsri";7/11/1998;"Total phosphorus";"mg/l"
2635;11.30;"Boonsri";7/11/1998;"Sodium";"mg/l"
2636;2.90;"Boonsri";7/11/1998;"Potassium";"mg/l"
2637;52.00;"Boonsri";7/11/1998;"Calcium";"mg/l"
2638;9.70;"Boonsri";7/11/1998;"Magnesium";"mg/l"
2639;18.20;"Boonsri";7/11/1998;"Chlorides";"mg/l"
2640;19.50;"Boonsri";7/11/1998;"Sulphates";"mg/l"
2641;0.42;"Boonsri";7/11/1998;"Iron";"mg/l"
2642;8.0e-03;"Boonsri";7/11/1998;"Manganese";"mg/l"
2643;22.00;"Boonsri";7/11/1998;"Zinc";"µg/l"
2644;9.00;"Boonsri";7/11/1998;"Copper";"µg/l"
2645;0.00;"Boonsri";7/11/1998;"Chromium";"µg/l"
2646;0.00;"Boonsri";7/11/1998;"Lead";"µg/l"
2647;0.00;"Boonsri";7/11/1998;"Cadmium";"µg/l"
2648;0.00;"Boonsri";7/11/1998;"Mercury";"µg/l"
2649;6.00;"Boonsri";7/11/1998;"Nickel";"µg/l"
2650;0.00;"Boonsri";7/11/1998;"Arsenic";"µg/l"
2651;1.80;"Boonsri";7/11/1998;"Biochemical Oxygen";"mg/l"
2652;0.00;"Boonsri";7/11/1998;"Chemical Oxygen Demand (Cr)";"mg/l"
2653;3.50;"Boonsri";7/11/1998;"Chemical Oxygen Demand (Mn)";"mg/l"
2654;0.00;"Boonsri";7/11/1998;"AOX";"µg/l"
2656;0.00;"Boonsri";7/11/1998;"Atrazine";"µg/l"
2657;0.00;"Boonsri";7/11/1998;"Cesium";"µg/l"
2659;0.00;"Boonsri";7/11/1998;"Macrozoobenthos";
2661;0.15;"Boonsri";7/11/1998;"Total coliforms";"mg/l"
2662;0.00;"Boonsri";7/11/1998;"Fecal coliforms";"mg/l"
2664;6.00;"Boonsri";5/12/1998;"Water temperature";"C"
2666;10.00;"Boonsri";5/12/1998;"Dissolved oxygen";"mg/l"
2670;0.14;"Boonsri";5/12/1998;"Ammonium";"mg/l"
2671;0.01;"Boonsri";5/12/1998;"Nitrites";"mg/l"
2672;1.90;"Boonsri";5/12/1998;"Nitrates";"mg/l"
2673;0.08;"Boonsri";5/12/1998;"Orthophosphate-phosphorus";"mg/l"
2674;0.11;"Boonsri";5/12/1998;"Total phosphorus";"mg/l"
2675;12.50;"Boonsri";5/12/1998;"Sodium";"mg/l"
2676;2.40;"Boonsri";5/12/1998;"Potassium";"mg/l"
2677;56.00;"Boonsri";5/12/1998;"Calcium";"mg/l"
2678;7.30;"Boonsri";5/12/1998;"Magnesium";"mg/l"
2679;9.20;"Boonsri";5/12/1998;"Chlorides";"mg/l"
2680;24.00;"Boonsri";5/12/1998;"Sulphates";"mg/l"
2681;0.67;"Boonsri";5/12/1998;"Iron";"mg/l"
2682;0.01;"Boonsri";5/12/1998;"Manganese";"mg/l"
2683;19.00;"Boonsri";5/12/1998;"Zinc";"µg/l"
2684;4.00;"Boonsri";5/12/1998;"Copper";"µg/l"
593766;0.06;"Boonsri";26/8/2005;"Orthophosphate-phosphorus";"mg/l"
593767;0.07;"Boonsri";26/8/2005;"Total phosphorus";"mg/l"
593768;11.49;"Boonsri";26/8/2005;"Silica (SiO2)";"mg/l"
593769;15.00;"Boonsri";26/8/2005;"Sodium";"mg/l"
593770;3.00;"Boonsri";26/8/2005;"Potassium";"mg/l"
593771;40.40;"Boonsri";26/8/2005;"Calcium";"mg/l"
593772;16.40;"Boonsri";26/8/2005;"Magnesium";"mg/l"
593773;23.10;"Boonsri";26/8/2005;"Chlorides";"mg/l"
593774;35.79;"Boonsri";26/8/2005;"Sulphates";"mg/l"
593775;0.04;"Boonsri";26/8/2005;"Iron";"mg/l"
593776;0.02;"Boonsri";26/8/2005;"Manganese";"mg/l"
593777;10.00;"Boonsri";26/8/2005;"Zinc";"µg/l"
593778;6.55;"Boonsri";26/8/2005;"Copper";"µg/l"
593779;0.45;"Boonsri";26/8/2005;"Chromium";"µg/l"
593780;2.78;"Boonsri";26/8/2005;"Lead";"µg/l"
593781;0.71;"Boonsri";26/8/2005;"Cadmium";"µg/l"
593782;0.00;"Boonsri";26/8/2005;"Mercury";"µg/l"
